,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2020-12-23 00:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.BROOKLYN_NETS,99,125,2021
1,2020-12-23 03:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.LOS_ANGELES_LAKERS,116,109,2021
2,2020-12-24 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.CLEVELAND_CAVALIERS,114,121,2021
3,2020-12-24 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.INDIANA_PACERS,107,121,2021
4,2020-12-24 00:00:00+00:00,Team.MIAMI_HEAT,Team.ORLANDO_MAGIC,107,113,2021
5,2020-12-24 00:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.PHILADELPHIA_76ERS,107,113,2021
6,2020-12-24 00:30:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.TORONTO_RAPTORS,113,99,2021
7,2020-12-24 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.BOSTON_CELTICS,121,122,2021
8,2020-12-24 01:00:00+00:00,Team.ATLANTA_HAWKS,Team.CHICAGO_BULLS,124,104,2021
9,2020-12-24 01:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.MEMPHIS_GRIZZLIES,131,119,2021
10,2020-12-24 01:00:00+00:00,Team.DETROIT_PISTONS,Team.MINNESOTA_TIMBERWOLVES,101,111,2021
11,2020-12-24 02:00:00+00:00,Team.SACRAMENTO_KINGS,Team.DENVER_NUGGETS,124,122,2021
12,2020-12-24 03:00:00+00:00,Team.UTAH_JAZZ,Team.PORTLAND_TRAIL_BLAZERS,120,100,2021
13,2020-12-24 03:30:00+00:00,Team.DALLAS_MAVERICKS,Team.PHOENIX_SUNS,102,106,2021
14,2020-12-25 17:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.MIAMI_HEAT,98,111,2021
15,2020-12-25 19:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.MILWAUKEE_BUCKS,99,138,2021
16,2020-12-25 22:00:00+00:00,Team.BROOKLYN_NETS,Team.BOSTON_CELTICS,123,95,2021
17,2020-12-26 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.LOS_ANGELES_LAKERS,115,138,2021
18,2020-12-26 03:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.DENVER_NUGGETS,121,108,2021
19,2020-12-26 22:00:00+00:00,Team.ATLANTA_HAWKS,Team.MEMPHIS_GRIZZLIES,122,112,2021
20,2020-12-27 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.CHARLOTTE_HORNETS,109,107,2021
21,2020-12-27 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.DETROIT_PISTONS,128,119,2021
22,2020-12-27 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.WASHINGTON_WIZARDS,130,120,2021
23,2020-12-27 00:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.NEW_YORK_KNICKS,109,89,2021
24,2020-12-27 01:00:00+00:00,Team.INDIANA_PACERS,Team.CHICAGO_BULLS,125,106,2021
25,2020-12-27 01:30:00+00:00,Team.TORONTO_RAPTORS,Team.SAN_ANTONIO_SPURS,114,119,2021
26,2020-12-27 02:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.UTAH_JAZZ,116,111,2021
27,2020-12-27 03:00:00+00:00,Team.HOUSTON_ROCKETS,Team.PORTLAND_TRAIL_BLAZERS,126,128,2021
28,2020-12-27 03:00:00+00:00,Team.PHOENIX_SUNS,Team.SACRAMENTO_KINGS,103,106,2021
29,2020-12-27 20:30:00+00:00,Team.DALLAS_MAVERICKS,Team.LOS_ANGELES_CLIPPERS,124,73,2021
30,2020-12-28 00:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.NEW_ORLEANS_PELICANS,95,98,2021
31,2020-12-28 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.WASHINGTON_WIZARDS,120,113,2021
32,2020-12-28 00:00:00+00:00,Team.BROOKLYN_NETS,Team.CHARLOTTE_HORNETS,104,106,2021
33,2020-12-28 00:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.CLEVELAND_CAVALIERS,94,118,2021
34,2020-12-28 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.NEW_YORK_KNICKS,110,130,2021
35,2020-12-28 01:00:00+00:00,Team.BOSTON_CELTICS,Team.INDIANA_PACERS,107,108,2021
36,2020-12-28 01:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.CHICAGO_BULLS,129,128,2021
37,2020-12-28 02:00:00+00:00,Team.PHOENIX_SUNS,Team.SACRAMENTO_KINGS,116,100,2021
38,2020-12-28 03:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.LOS_ANGELES_LAKERS,91,127,2021
39,2020-12-29 00:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.BROOKLYN_NETS,116,111,2021
40,2020-12-29 00:30:00+00:00,Team.DETROIT_PISTONS,Team.ATLANTA_HAWKS,120,128,2021
41,2020-12-29 01:00:00+00:00,Team.UTAH_JAZZ,Team.OKLAHOMA_CITY_THUNDER,110,109,2021
42,2020-12-29 02:00:00+00:00,Team.HOUSTON_ROCKETS,Team.DENVER_NUGGETS,111,124,2021
43,2020-12-29 03:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.LOS_ANGELES_LAKERS,115,107,2021
44,2020-12-30 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.CLEVELAND_CAVALIERS,95,86,2021
45,2020-12-30 00:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.DETROIT_PISTONS,116,106,2021
46,2020-12-30 00:00:00+00:00,Team.BOSTON_CELTICS,Team.INDIANA_PACERS,116,111,2021
47,2020-12-30 00:00:00+00:00,Team.CHICAGO_BULLS,Team.WASHINGTON_WIZARDS,115,107,2021
48,2020-12-30 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.PHILADELPHIA_76ERS,93,100,2021
49,2020-12-30 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.MIAMI_HEAT,144,97,2021
50,2020-12-30 01:00:00+00:00,Team.ORLANDO_MAGIC,Team.OKLAHOMA_CITY_THUNDER,118,107,2021
51,2020-12-30 03:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.PHOENIX_SUNS,86,111,2021
52,2020-12-30 03:00:00+00:00,Team.DENVER_NUGGETS,Team.SACRAMENTO_KINGS,115,125,2021
53,2020-12-30 03:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.LOS_ANGELES_CLIPPERS,101,124,2021
54,2020-12-31 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.MIAMI_HEAT,108,119,2021
55,2020-12-31 00:30:00+00:00,Team.ATLANTA_HAWKS,Team.BROOKLYN_NETS,141,145,2021
56,2020-12-31 00:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.BOSTON_CELTICS,107,126,2021
57,2020-12-31 01:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.DALLAS_MAVERICKS,118,99,2021
58,2020-12-31 01:30:00+00:00,Team.LOS_ANGELES_LAKERS,Team.SAN_ANTONIO_SPURS,121,107,2021
59,2020-12-31 03:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.LOS_ANGELES_CLIPPERS,105,128,2021
60,2020-12-31 20:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.INDIANA_PACERS,99,119,2021
61,2020-12-31 22:00:00+00:00,Team.CHICAGO_BULLS,Team.WASHINGTON_WIZARDS,133,130,2021
62,2020-12-31 23:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.ORLANDO_MAGIC,116,92,2021
63,2021-01-01 00:00:00+00:00,Team.SACRAMENTO_KINGS,Team.HOUSTON_ROCKETS,119,122,2021
64,2021-01-01 00:30:00+00:00,Team.NEW_YORK_KNICKS,Team.TORONTO_RAPTORS,83,100,2021
65,2021-01-01 01:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.OKLAHOMA_CITY_THUNDER,113,80,2021
66,2021-01-01 02:00:00+00:00,Team.PHOENIX_SUNS,Team.UTAH_JAZZ,106,95,2021
67,2021-01-02 00:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.CHARLOTTE_HORNETS,108,93,2021
68,2021-01-02 00:00:00+00:00,Team.MIAMI_HEAT,Team.DALLAS_MAVERICKS,83,93,2021
69,2021-01-02 00:00:00+00:00,Team.BOSTON_CELTICS,Team.DETROIT_PISTONS,93,96,2021
70,2021-01-02 00:30:00+00:00,Team.ATLANTA_HAWKS,Team.BROOKLYN_NETS,114,96,2021
71,2021-01-02 01:00:00+00:00,Team.CHICAGO_BULLS,Team.MILWAUKEE_BUCKS,96,126,2021
72,2021-01-02 01:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.MINNESOTA_TIMBERWOLVES,130,109,2021
73,2021-01-02 01:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.SAN_ANTONIO_SPURS,109,103,2021
74,2021-01-02 02:00:00+00:00,Team.PHOENIX_SUNS,Team.DENVER_NUGGETS,106,103,2021
75,2021-01-02 02:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.UTAH_JAZZ,100,106,2021
76,2021-01-02 03:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.GOLDEN_STATE_WARRIORS,123,98,2021
77,2021-01-02 22:00:00+00:00,Team.SACRAMENTO_KINGS,Team.HOUSTON_ROCKETS,94,102,2021
78,2021-01-03 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.INDIANA_PACERS,106,102,2021
79,2021-01-03 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.ORLANDO_MAGIC,108,99,2021
80,2021-01-03 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.PHILADELPHIA_76ERS,112,127,2021
81,2021-01-03 00:30:00+00:00,Team.CLEVELAND_CAVALIERS,Team.ATLANTA_HAWKS,96,91,2021
82,2021-01-03 00:30:00+00:00,Team.TORONTO_RAPTORS,Team.NEW_ORLEANS_PELICANS,116,120,2021
83,2021-01-03 20:00:00+00:00,Team.BOSTON_CELTICS,Team.DETROIT_PISTONS,122,120,2021
84,2021-01-03 23:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.BROOKLYN_NETS,123,122,2021
85,2021-01-03 23:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.MEMPHIS_GRIZZLIES,108,94,2021
86,2021-01-04 00:00:00+00:00,Team.DENVER_NUGGETS,Team.MINNESOTA_TIMBERWOLVES,124,109,2021
87,2021-01-04 00:00:00+00:00,Team.UTAH_JAZZ,Team.SAN_ANTONIO_SPURS,130,109,2021
88,2021-01-04 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.CHICAGO_BULLS,108,118,2021
89,2021-01-04 01:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.PHOENIX_SUNS,112,107,2021
90,2021-01-04 01:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.GOLDEN_STATE_WARRIORS,122,137,2021
91,2021-01-05 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.ORLANDO_MAGIC,83,103,2021
92,2021-01-05 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.PHILADELPHIA_76ERS,101,118,2021
93,2021-01-05 00:30:00+00:00,Team.NEW_YORK_KNICKS,Team.ATLANTA_HAWKS,113,108,2021
94,2021-01-05 00:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.MIAMI_HEAT,90,118,2021
95,2021-01-05 00:30:00+00:00,Team.BOSTON_CELTICS,Team.TORONTO_RAPTORS,126,114,2021
96,2021-01-05 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.HOUSTON_ROCKETS,113,100,2021
97,2021-01-05 01:00:00+00:00,Team.DETROIT_PISTONS,Team.MILWAUKEE_BUCKS,115,125,2021
98,2021-01-05 01:00:00+00:00,Team.INDIANA_PACERS,Team.NEW_ORLEANS_PELICANS,118,116,2021
99,2021-01-05 03:00:00+00:00,Team.SACRAMENTO_KINGS,Team.GOLDEN_STATE_WARRIORS,106,137,2021
100,2021-01-06 00:30:00+00:00,Team.UTAH_JAZZ,Team.BROOKLYN_NETS,96,130,2021
