,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2016-10-25 23:30:00+00:00,Team.NEW_YORK_KNICKS,Team.CLEVELAND_CAVALIERS,88,117,2017
1,2016-10-26 02:00:00+00:00,Team.UTAH_JAZZ,Team.PORTLAND_TRAIL_BLAZERS,104,113,2017
2,2016-10-26 02:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.GOLDEN_STATE_WARRIORS,129,100,2017
3,2016-10-26 23:00:00+00:00,Team.DALLAS_MAVERICKS,Team.INDIANA_PACERS,121,130,2017
4,2016-10-26 23:00:00+00:00,Team.MIAMI_HEAT,Team.ORLANDO_MAGIC,108,96,2017
5,2016-10-26 23:30:00+00:00,Team.DETROIT_PISTONS,Team.TORONTO_RAPTORS,91,109,2017
6,2016-10-26 23:30:00+00:00,Team.BROOKLYN_NETS,Team.BOSTON_CELTICS,117,122,2017
7,2016-10-27 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.MILWAUKEE_BUCKS,107,96,2017
8,2016-10-27 00:00:00+00:00,Team.DENVER_NUGGETS,Team.NEW_ORLEANS_PELICANS,107,102,2017
9,2016-10-27 00:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.MEMPHIS_GRIZZLIES,98,102,2017
10,2016-10-27 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.PHILADELPHIA_76ERS,103,97,2017
11,2016-10-27 02:00:00+00:00,Team.SACRAMENTO_KINGS,Team.PHOENIX_SUNS,113,94,2017
12,2016-10-27 02:30:00+00:00,Team.HOUSTON_ROCKETS,Team.LOS_ANGELES_LAKERS,114,120,2017
13,2016-10-27 23:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.ATLANTA_HAWKS,99,114,2017
14,2016-10-28 00:00:00+00:00,Team.BOSTON_CELTICS,Team.CHICAGO_BULLS,99,105,2017
15,2016-10-28 02:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.PORTLAND_TRAIL_BLAZERS,114,106,2017
16,2016-10-28 02:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.SACRAMENTO_KINGS,102,94,2017
17,2016-10-28 23:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.TORONTO_RAPTORS,94,91,2017
18,2016-10-28 23:30:00+00:00,Team.INDIANA_PACERS,Team.BROOKLYN_NETS,94,103,2017
19,2016-10-28 23:30:00+00:00,Team.ORLANDO_MAGIC,Team.DETROIT_PISTONS,82,108,2017
20,2016-10-29 00:00:00+00:00,Team.PHOENIX_SUNS,Team.OKLAHOMA_CITY_THUNDER,110,113,2017
21,2016-10-29 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.MIAMI_HEAT,97,91,2017
22,2016-10-29 00:30:00+00:00,Team.HOUSTON_ROCKETS,Team.DALLAS_MAVERICKS,106,98,2017
23,2016-10-29 01:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.UTAH_JAZZ,89,96,2017
24,2016-10-29 01:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.NEW_ORLEANS_PELICANS,122,114,2017
25,2016-10-29 16:30:00+00:00,Team.ATLANTA_HAWKS,Team.PHILADELPHIA_76ERS,104,72,2017
26,2016-10-29 23:00:00+00:00,Team.BOSTON_CELTICS,Team.CHARLOTTE_HORNETS,104,98,2017
27,2016-10-29 23:30:00+00:00,Team.ORLANDO_MAGIC,Team.CLEVELAND_CAVALIERS,99,105,2017
28,2016-10-29 23:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.NEW_YORK_KNICKS,104,111,2017
29,2016-10-30 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.SAN_ANTONIO_SPURS,79,98,2017
30,2016-10-30 00:00:00+00:00,Team.BROOKLYN_NETS,Team.MILWAUKEE_BUCKS,108,110,2017
31,2016-10-30 00:00:00+00:00,Team.INDIANA_PACERS,Team.CHICAGO_BULLS,101,118,2017
32,2016-10-30 01:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.DENVER_NUGGETS,115,113,2017
33,2016-10-30 02:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.SACRAMENTO_KINGS,103,106,2017
34,2016-10-30 20:30:00+00:00,Team.UTAH_JAZZ,Team.LOS_ANGELES_CLIPPERS,75,88,2017
35,2016-10-30 22:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.DETROIT_PISTONS,83,98,2017
36,2016-10-30 22:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.MIAMI_HEAT,106,99,2017
37,2016-10-30 22:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.PHOENIX_SUNS,106,100,2017
38,2016-10-30 23:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.OKLAHOMA_CITY_THUNDER,96,113,2017
39,2016-10-31 00:00:00+00:00,Team.DALLAS_MAVERICKS,Team.HOUSTON_ROCKETS,92,93,2017
40,2016-10-31 00:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.MEMPHIS_GRIZZLIES,103,112,2017
41,2016-10-31 23:30:00+00:00,Team.SACRAMENTO_KINGS,Team.ATLANTA_HAWKS,95,106,2017
42,2016-10-31 23:30:00+00:00,Team.CHICAGO_BULLS,Team.BROOKLYN_NETS,118,88,2017
43,2016-10-31 23:30:00+00:00,Team.DENVER_NUGGETS,Team.TORONTO_RAPTORS,102,105,2017
44,2016-11-01 02:30:00+00:00,Team.PHOENIX_SUNS,Team.LOS_ANGELES_CLIPPERS,98,116,2017
45,2016-11-01 22:00:00+00:00,Team.HOUSTON_ROCKETS,Team.CLEVELAND_CAVALIERS,120,128,2017
46,2016-11-01 23:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.INDIANA_PACERS,108,115,2017
47,2016-11-01 23:00:00+00:00,Team.ORLANDO_MAGIC,Team.PHILADELPHIA_76ERS,103,101,2017
48,2016-11-01 23:30:00+00:00,Team.NEW_YORK_KNICKS,Team.DETROIT_PISTONS,89,102,2017
49,2016-11-01 23:30:00+00:00,Team.SACRAMENTO_KINGS,Team.MIAMI_HEAT,96,108,2017
50,2016-11-02 00:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.MINNESOTA_TIMBERWOLVES,80,116,2017
51,2016-11-02 00:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.NEW_ORLEANS_PELICANS,117,113,2017
52,2016-11-02 00:30:00+00:00,Team.UTAH_JAZZ,Team.SAN_ANTONIO_SPURS,106,91,2017
53,2016-11-02 02:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.PORTLAND_TRAIL_BLAZERS,127,104,2017
54,2016-11-02 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.CHARLOTTE_HORNETS,93,109,2017
55,2016-11-02 23:00:00+00:00,Team.TORONTO_RAPTORS,Team.WASHINGTON_WIZARDS,113,103,2017
56,2016-11-02 23:30:00+00:00,Team.LOS_ANGELES_LAKERS,Team.ATLANTA_HAWKS,123,116,2017
57,2016-11-02 23:30:00+00:00,Team.DETROIT_PISTONS,Team.BROOKLYN_NETS,101,109,2017
58,2016-11-02 23:30:00+00:00,Team.HOUSTON_ROCKETS,Team.NEW_YORK_KNICKS,118,99,2017
59,2016-11-03 00:00:00+00:00,Team.CHICAGO_BULLS,Team.BOSTON_CELTICS,100,107,2017
60,2016-11-03 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.MEMPHIS_GRIZZLIES,83,89,2017
61,2016-11-03 01:00:00+00:00,Team.DALLAS_MAVERICKS,Team.UTAH_JAZZ,81,97,2017
62,2016-11-03 02:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.PHOENIX_SUNS,115,118,2017
63,2016-11-03 02:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.LOS_ANGELES_CLIPPERS,85,83,2017
64,2016-11-03 23:00:00+00:00,Team.SACRAMENTO_KINGS,Team.ORLANDO_MAGIC,94,102,2017
65,2016-11-04 00:00:00+00:00,Team.BOSTON_CELTICS,Team.CLEVELAND_CAVALIERS,122,128,2017
66,2016-11-04 00:00:00+00:00,Team.INDIANA_PACERS,Team.MILWAUKEE_BUCKS,107,125,2017
67,2016-11-04 00:00:00+00:00,Team.DENVER_NUGGETS,Team.MINNESOTA_TIMBERWOLVES,102,99,2017
68,2016-11-04 02:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.GOLDEN_STATE_WARRIORS,96,122,2017
69,2016-11-04 23:00:00+00:00,Team.ATLANTA_HAWKS,Team.WASHINGTON_WIZARDS,92,95,2017
70,2016-11-04 23:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.BROOKLYN_NETS,99,95,2017
71,2016-11-04 23:30:00+00:00,Team.MIAMI_HEAT,Team.TORONTO_RAPTORS,87,96,2017
72,2016-11-05 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.CHICAGO_BULLS,117,104,2017
73,2016-11-05 00:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.MEMPHIS_GRIZZLIES,99,88,2017
74,2016-11-05 00:00:00+00:00,Team.PHOENIX_SUNS,Team.NEW_ORLEANS_PELICANS,112,111,2017
75,2016-11-05 00:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.DALLAS_MAVERICKS,105,95,2017
76,2016-11-05 01:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.UTAH_JAZZ,100,86,2017
77,2016-11-05 02:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.LOS_ANGELES_LAKERS,97,117,2017
78,2016-11-05 22:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.OKLAHOMA_CITY_THUNDER,92,112,2017
79,2016-11-05 23:00:00+00:00,Team.DENVER_NUGGETS,Team.DETROIT_PISTONS,86,103,2017
80,2016-11-05 23:00:00+00:00,Team.CHICAGO_BULLS,Team.INDIANA_PACERS,94,111,2017
81,2016-11-05 23:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.ORLANDO_MAGIC,86,88,2017
82,2016-11-05 23:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.PHILADELPHIA_76ERS,102,101,2017
83,2016-11-05 23:30:00+00:00,Team.HOUSTON_ROCKETS,Team.ATLANTA_HAWKS,97,112,2017
84,2016-11-06 00:00:00+00:00,Team.SACRAMENTO_KINGS,Team.MILWAUKEE_BUCKS,91,117,2017
85,2016-11-06 00:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.SAN_ANTONIO_SPURS,116,92,2017
86,2016-11-06 17:00:00+00:00,Team.UTAH_JAZZ,Team.NEW_YORK_KNICKS,114,109,2017
87,2016-11-06 20:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.MEMPHIS_GRIZZLIES,100,94,2017
88,2016-11-06 23:00:00+00:00,Team.SACRAMENTO_KINGS,Team.TORONTO_RAPTORS,96,91,2017
89,2016-11-07 00:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.DALLAS_MAVERICKS,75,86,2017
90,2016-11-07 00:30:00+00:00,Team.DENVER_NUGGETS,Team.BOSTON_CELTICS,123,107,2017
91,2016-11-07 02:30:00+00:00,Team.PHOENIX_SUNS,Team.LOS_ANGELES_LAKERS,108,119,2017
92,2016-11-08 00:00:00+00:00,Team.INDIANA_PACERS,Team.CHARLOTTE_HORNETS,100,122,2017
93,2016-11-08 00:00:00+00:00,Team.UTAH_JAZZ,Team.PHILADELPHIA_76ERS,109,84,2017
94,2016-11-08 00:00:00+00:00,Team.HOUSTON_ROCKETS,Team.WASHINGTON_WIZARDS,114,106,2017
95,2016-11-08 01:00:00+00:00,Team.ORLANDO_MAGIC,Team.CHICAGO_BULLS,80,112,2017
96,2016-11-08 01:00:00+00:00,Team.MIAMI_HEAT,Team.OKLAHOMA_CITY_THUNDER,85,97,2017
97,2016-11-08 03:30:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.GOLDEN_STATE_WARRIORS,106,116,2017
98,2016-11-08 03:30:00+00:00,Team.DETROIT_PISTONS,Team.LOS_ANGELES_CLIPPERS,82,114,2017
99,2016-11-09 00:00:00+00:00,Team.ATLANTA_HAWKS,Team.CLEVELAND_CAVALIERS,110,106,2017
100,2016-11-09 00:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.BROOKLYN_NETS,110,119,2017
101,2016-11-09 01:00:00+00:00,Team.DENVER_NUGGETS,Team.MEMPHIS_GRIZZLIES,107,108,2017
102,2016-11-09 03:00:00+00:00,Team.PHOENIX_SUNS,Team.PORTLAND_TRAIL_BLAZERS,121,124,2017
103,2016-11-09 03:30:00+00:00,Team.DALLAS_MAVERICKS,Team.LOS_ANGELES_LAKERS,109,97,2017
104,2016-11-09 03:30:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.SACRAMENTO_KINGS,94,102,2017
105,2016-11-10 00:00:00+00:00,Team.UTAH_JAZZ,Team.CHARLOTTE_HORNETS,98,104,2017
106,2016-11-10 00:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.INDIANA_PACERS,115,122,2017
107,2016-11-10 00:00:00+00:00,Team.BROOKLYN_NETS,Team.NEW_YORK_KNICKS,96,110,2017
108,2016-11-10 00:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.ORLANDO_MAGIC,123,107,2017
109,2016-11-10 00:00:00+00:00,Team.BOSTON_CELTICS,Team.WASHINGTON_WIZARDS,93,118,2017
110,2016-11-10 00:30:00+00:00,Team.CHICAGO_BULLS,Team.ATLANTA_HAWKS,107,115,2017
111,2016-11-10 01:00:00+00:00,Team.TORONTO_RAPTORS,Team.OKLAHOMA_CITY_THUNDER,112,102,2017
112,2016-11-10 02:00:00+00:00,Team.DETROIT_PISTONS,Team.PHOENIX_SUNS,100,107,2017
113,2016-11-10 02:30:00+00:00,Team.HOUSTON_ROCKETS,Team.SAN_ANTONIO_SPURS,101,99,2017
114,2016-11-10 03:30:00+00:00,Team.DALLAS_MAVERICKS,Team.GOLDEN_STATE_WARRIORS,95,116,2017
115,2016-11-10 03:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.LOS_ANGELES_CLIPPERS,80,111,2017
116,2016-11-11 01:00:00+00:00,Team.CHICAGO_BULLS,Team.MIAMI_HEAT,98,95,2017
117,2016-11-11 01:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.MILWAUKEE_BUCKS,112,106,2017
118,2016-11-11 02:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.DENVER_NUGGETS,125,101,2017
119,2016-11-11 03:30:00+00:00,Team.LOS_ANGELES_LAKERS,Team.SACRAMENTO_KINGS,101,91,2017
120,2016-11-12 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.CHARLOTTE_HORNETS,113,111,2017
121,2016-11-12 00:00:00+00:00,Team.UTAH_JAZZ,Team.ORLANDO_MAGIC,87,74,2017
122,2016-11-12 00:00:00+00:00,Team.INDIANA_PACERS,Team.PHILADELPHIA_76ERS,105,109,2017
123,2016-11-12 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.WASHINGTON_WIZARDS,105,94,2017
124,2016-11-12 00:30:00+00:00,Team.NEW_YORK_KNICKS,Team.BOSTON_CELTICS,87,115,2017
125,2016-11-12 01:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.OKLAHOMA_CITY_THUNDER,110,108,2017
126,2016-11-12 01:30:00+00:00,Team.DETROIT_PISTONS,Team.SAN_ANTONIO_SPURS,86,96,2017
127,2016-11-12 03:00:00+00:00,Team.SACRAMENTO_KINGS,Team.PORTLAND_TRAIL_BLAZERS,120,122,2017
128,2016-11-13 00:00:00+00:00,Team.BOSTON_CELTICS,Team.INDIANA_PACERS,105,99,2017
129,2016-11-13 00:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.NEW_ORLEANS_PELICANS,126,99,2017
130,2016-11-13 00:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.ATLANTA_HAWKS,96,117,2017
131,2016-11-13 00:30:00+00:00,Team.NEW_YORK_KNICKS,Team.TORONTO_RAPTORS,107,118,2017
132,2016-11-13 01:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.CHICAGO_BULLS,95,106,2017
133,2016-11-13 01:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.HOUSTON_ROCKETS,106,100,2017
134,2016-11-13 01:00:00+00:00,Team.UTAH_JAZZ,Team.MIAMI_HEAT,102,91,2017
135,2016-11-13 01:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.MINNESOTA_TIMBERWOLVES,119,105,2017
136,2016-11-13 01:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.MILWAUKEE_BUCKS,96,106,2017
137,2016-11-13 02:00:00+00:00,Team.DETROIT_PISTONS,Team.DENVER_NUGGETS,106,95,2017
138,2016-11-13 02:00:00+00:00,Team.BROOKLYN_NETS,Team.PHOENIX_SUNS,122,104,2017
139,2016-11-13 20:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.CLEVELAND_CAVALIERS,93,100,2017
140,2016-11-14 00:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.MINNESOTA_TIMBERWOLVES,99,125,2017
141,2016-11-14 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.OKLAHOMA_CITY_THUNDER,119,117,2017
142,2016-11-14 01:00:00+00:00,Team.PHOENIX_SUNS,Team.GOLDEN_STATE_WARRIORS,120,133,2017
143,2016-11-14 02:00:00+00:00,Team.DENVER_NUGGETS,Team.PORTLAND_TRAIL_BLAZERS,105,112,2017
144,2016-11-15 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.INDIANA_PACERS,69,88,2017
145,2016-11-15 00:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.DETROIT_PISTONS,88,104,2017
146,2016-11-15 00:30:00+00:00,Team.DALLAS_MAVERICKS,Team.NEW_YORK_KNICKS,77,93,2017
147,2016-11-15 01:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.HOUSTON_ROCKETS,88,115,2017
148,2016-11-15 01:00:00+00:00,Team.BOSTON_CELTICS,Team.NEW_ORLEANS_PELICANS,105,106,2017
149,2016-11-15 01:30:00+00:00,Team.MIAMI_HEAT,Team.SAN_ANTONIO_SPURS,90,94,2017
150,2016-11-15 02:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.UTAH_JAZZ,102,96,2017
151,2016-11-15 03:30:00+00:00,Team.BROOKLYN_NETS,Team.LOS_ANGELES_CLIPPERS,95,127,2017
152,2016-11-16 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.CLEVELAND_CAVALIERS,117,121,2017
153,2016-11-16 00:30:00+00:00,Team.ATLANTA_HAWKS,Team.MIAMI_HEAT,93,90,2017
154,2016-11-16 01:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.MINNESOTA_TIMBERWOLVES,115,108,2017
155,2016-11-16 03:00:00+00:00,Team.CHICAGO_BULLS,Team.PORTLAND_TRAIL_BLAZERS,113,88,2017
156,2016-11-16 03:30:00+00:00,Team.BROOKLYN_NETS,Team.LOS_ANGELES_LAKERS,118,125,2017
157,2016-11-17 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.INDIANA_PACERS,93,103,2017
158,2016-11-17 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.ORLANDO_MAGIC,82,89,2017
159,2016-11-17 00:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.PHILADELPHIA_76ERS,102,109,2017
160,2016-11-17 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.ATLANTA_HAWKS,100,107,2017
161,2016-11-17 00:30:00+00:00,Team.DALLAS_MAVERICKS,Team.BOSTON_CELTICS,83,90,2017
162,2016-11-17 00:30:00+00:00,Team.DETROIT_PISTONS,Team.NEW_YORK_KNICKS,102,105,2017
163,2016-11-17 01:00:00+00:00,Team.HOUSTON_ROCKETS,Team.OKLAHOMA_CITY_THUNDER,103,105,2017
164,2016-11-17 01:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.TORONTO_RAPTORS,127,121,2017
165,2016-11-17 02:00:00+00:00,Team.PHOENIX_SUNS,Team.DENVER_NUGGETS,104,120,2017
166,2016-11-17 03:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.LOS_ANGELES_CLIPPERS,111,107,2017
