,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT,TS_PCT,eFG_PCT
0,BKN2020-12-22,62.0,19.0,45.0,6.0,15.0,0.4,18.0,23.0,9.0,20.0,29.0,13.0,7.0,6.0,1.0,4.0,12.0,14.0,0.782608695652174,0.4222222222222222,0.5624092888243832,0.4888888888888889
1,GSW2020-12-22,54.0,20.0,46.0,6.0,16.0,0.375,8.0,13.0,7.0,17.0,24.0,16.0,9.0,2.0,4.0,1.0,14.0,12.0,0.6153846153846154,0.4347826086956521,0.5220417633410673,0.5
2,LAC2020-12-22,60.0,23.0,48.0,7.0,19.0,0.3684210526315789,7.0,10.0,8.0,11.0,19.0,10.0,4.0,3.0,3.0,2.0,12.0,8.0,0.7,0.4791666666666667,0.5725190839694657,0.5520833333333334
3,LAL2020-12-22,55.0,21.0,41.0,4.0,12.0,0.3333333333333333,9.0,11.0,5.0,16.0,21.0,12.0,8.0,1.0,2.0,3.0,8.0,12.0,0.8181818181818182,0.5121951219512195,0.599912739965096,0.5609756097560976
4,ATL2020-12-23,41.0,14.0,37.0,4.0,15.0,0.2666666666666666,9.0,11.0,6.0,20.0,26.0,9.0,14.0,2.0,2.0,2.0,19.0,8.0,0.8181818181818182,0.3783783783783784,0.4899617590822179,0.4324324324324324
5,BOS2020-12-23,58.0,24.0,48.0,6.0,15.0,0.4,4.0,5.0,4.0,11.0,15.0,8.0,3.0,3.0,5.0,4.0,13.0,11.0,0.8,0.5,0.5776892430278884,0.5625
6,CHA2020-12-23,70.0,26.0,47.0,13.0,29.0,0.4482758620689655,5.0,9.0,4.0,14.0,18.0,13.0,7.0,4.0,1.0,1.0,8.0,14.0,0.5555555555555556,0.5531914893617021,0.6868131868131868,0.6914893617021277
7,CHI2020-12-23,45.0,15.0,38.0,2.0,14.0,0.1428571428571428,13.0,16.0,1.0,16.0,17.0,9.0,7.0,6.0,2.0,2.0,8.0,19.0,0.8125,0.3947368421052631,0.4995559502664298,0.4210526315789473
8,CLE2020-12-23,56.0,20.0,42.0,9.0,16.0,0.5625,7.0,11.0,5.0,18.0,23.0,14.0,14.0,6.0,1.0,1.0,14.0,8.0,0.6363636363636364,0.4761904761904761,0.5977796754910333,0.5833333333333334
9,DAL2020-12-23,57.0,21.0,38.0,4.0,18.0,0.2222222222222222,11.0,13.0,1.0,16.0,17.0,8.0,6.0,2.0,0.0,1.0,12.0,10.0,0.8461538461538461,0.5526315789473685,0.651875571820677,0.6052631578947368
10,DEN2020-12-23,52.0,19.0,43.0,3.0,15.0,0.2,11.0,14.0,2.0,11.0,13.0,12.0,5.0,4.0,5.0,2.0,15.0,16.0,0.7857142857142857,0.4418604651162791,0.5288852725793328,0.4767441860465116
11,DET2020-12-23,44.0,20.0,44.0,3.0,17.0,0.1764705882352941,1.0,4.0,3.0,18.0,21.0,12.0,10.0,4.0,1.0,4.0,9.0,7.0,0.25,0.4545454545454545,0.4807692307692308,0.4886363636363636
12,IND2020-12-23,60.0,23.0,47.0,4.0,15.0,0.2666666666666666,10.0,13.0,6.0,24.0,30.0,15.0,4.0,1.0,5.0,5.0,13.0,13.0,0.7692307692307693,0.4893617021276595,0.5690440060698028,0.5319148936170213
13,MEM2020-12-23,66.0,28.0,45.0,1.0,8.0,0.125,9.0,13.0,0.0,19.0,19.0,17.0,6.0,4.0,3.0,5.0,14.0,12.0,0.6923076923076923,0.6222222222222222,0.6506309148264985,0.6333333333333333
14,MIA2020-12-23,54.0,21.0,44.0,2.0,12.0,0.1666666666666666,10.0,12.0,5.0,22.0,27.0,12.0,10.0,3.0,0.0,1.0,14.0,11.0,0.8333333333333334,0.4772727272727273,0.5478896103896104,0.5
15,MIL2020-12-23,62.0,22.0,45.0,7.0,16.0,0.4375,11.0,14.0,8.0,18.0,26.0,6.0,7.0,1.0,4.0,5.0,11.0,13.0,0.7857142857142857,0.4888888888888889,0.6059421422986708,0.5666666666666667
16,MIN2020-12-23,55.0,19.0,45.0,7.0,23.0,0.3043478260869565,10.0,11.0,6.0,19.0,25.0,14.0,8.0,6.0,4.0,1.0,7.0,9.0,0.9090909090909092,0.4222222222222222,0.5517656500802568,0.5
17,NOP2020-12-23,63.0,23.0,39.0,11.0,20.0,0.55,6.0,8.0,3.0,20.0,23.0,14.0,12.0,6.0,4.0,2.0,6.0,9.0,0.75,0.5897435897435898,0.7408278457196613,0.7307692307692307
18,NYK2020-12-23,41.0,15.0,42.0,4.0,13.0,0.3076923076923077,7.0,12.0,4.0,17.0,21.0,10.0,6.0,1.0,5.0,5.0,13.0,13.0,0.5833333333333334,0.3571428571428571,0.4335871404399323,0.4047619047619047
19,ORL2020-12-23,57.0,18.0,42.0,6.0,16.0,0.375,15.0,21.0,5.0,17.0,22.0,12.0,7.0,6.0,1.0,0.0,11.0,14.0,0.7142857142857143,0.4285714285714285,0.5562060889929742,0.5
20,PHI2020-12-23,55.0,18.0,44.0,2.0,16.0,0.125,17.0,20.0,8.0,17.0,25.0,9.0,9.0,6.0,3.0,4.0,15.0,14.0,0.85,0.4090909090909091,0.5208333333333334,0.4318181818181818
21,PHX2020-12-23,53.0,18.0,40.0,5.0,14.0,0.3571428571428571,12.0,17.0,5.0,15.0,20.0,10.0,6.0,4.0,1.0,0.0,10.0,12.0,0.7058823529411765,0.45,0.5581297388374051,0.5125
22,POR2020-12-23,56.0,21.0,47.0,6.0,15.0,0.4,8.0,8.0,4.0,16.0,20.0,9.0,3.0,4.0,1.0,1.0,10.0,7.0,1.0,0.4468085106382978,0.5542359461599367,0.5106382978723404
23,SAC2020-12-23,59.0,19.0,41.0,6.0,14.0,0.4285714285714285,15.0,20.0,9.0,18.0,27.0,11.0,11.0,2.0,2.0,5.0,16.0,15.0,0.75,0.4634146341463415,0.5923694779116466,0.5365853658536586
24,SAS2020-12-23,65.0,23.0,45.0,4.0,11.0,0.3636363636363636,15.0,17.0,3.0,16.0,19.0,15.0,7.0,5.0,5.0,3.0,12.0,14.0,0.8823529411764706,0.5111111111111111,0.6192835365853658,0.5555555555555556
25,TOR2020-12-23,42.0,17.0,44.0,3.0,22.0,0.1363636363636363,5.0,6.0,4.0,11.0,15.0,11.0,9.0,5.0,2.0,4.0,9.0,6.0,0.8333333333333334,0.3863636363636363,0.4502572898799314,0.4204545454545454
26,UTA2020-12-23,55.0,19.0,44.0,6.0,22.0,0.2727272727272727,11.0,13.0,7.0,20.0,27.0,13.0,7.0,2.0,1.0,1.0,7.0,10.0,0.8461538461538461,0.4318181818181818,0.5530973451327433,0.5
27,WAS2020-12-23,48.0,16.0,39.0,5.0,12.0,0.4166666666666667,11.0,15.0,4.0,16.0,20.0,10.0,12.0,2.0,4.0,3.0,14.0,15.0,0.7333333333333333,0.4102564102564102,0.5263157894736842,0.4743589743589743
28,BOS2020-12-25,41.0,15.0,46.0,2.0,10.0,0.2,9.0,12.0,8.0,11.0,19.0,10.0,5.0,1.0,1.0,4.0,11.0,12.0,0.75,0.3260869565217391,0.3997659906396256,0.3478260869565217
29,BKN2020-12-25,72.0,25.0,38.0,9.0,12.0,0.75,13.0,14.0,3.0,20.0,23.0,11.0,4.0,0.0,4.0,1.0,12.0,11.0,0.9285714285714286,0.6578947368421053,0.8152173913043479,0.7763157894736842
30,DAL2020-12-25,58.0,22.0,43.0,7.0,20.0,0.35,7.0,10.0,2.0,12.0,14.0,11.0,3.0,3.0,2.0,2.0,12.0,10.0,0.7,0.5116279069767442,0.6118143459915611,0.5930232558139535
31,DEN2020-12-25,53.0,20.0,47.0,7.0,22.0,0.3181818181818182,6.0,9.0,8.0,13.0,21.0,10.0,4.0,3.0,0.0,3.0,5.0,14.0,0.6666666666666666,0.425531914893617,0.5200156985871272,0.5
32,GSW2020-12-25,43.0,16.0,47.0,2.0,16.0,0.125,9.0,10.0,5.0,12.0,17.0,5.0,8.0,3.0,2.0,2.0,8.0,8.0,0.9,0.3404255319148936,0.4182879377431907,0.3617021276595745
33,LAC2020-12-25,49.0,20.0,35.0,7.0,15.0,0.4666666666666667,2.0,2.0,1.0,12.0,13.0,14.0,10.0,2.0,3.0,0.0,14.0,5.0,1.0,0.5714285714285714,0.6828316610925306,0.6714285714285714
34,LAL2020-12-25,69.0,24.0,47.0,10.0,20.0,0.5,11.0,15.0,10.0,17.0,27.0,16.0,6.0,3.0,2.0,2.0,10.0,12.0,0.7333333333333333,0.5106382978723404,0.6436567164179104,0.6170212765957447
35,MIA2020-12-25,45.0,15.0,34.0,3.0,16.0,0.1875,12.0,16.0,1.0,19.0,20.0,11.0,10.0,6.0,2.0,1.0,15.0,14.0,0.75,0.4411764705882353,0.5482456140350878,0.4852941176470588
36,MIL2020-12-25,72.0,26.0,43.0,11.0,17.0,0.6470588235294118,9.0,10.0,5.0,25.0,30.0,16.0,11.0,6.0,2.0,2.0,8.0,8.0,0.9,0.6046511627906976,0.759493670886076,0.7325581395348837
37,NOP2020-12-25,45.0,14.0,40.0,5.0,20.0,0.25,12.0,16.0,5.0,16.0,21.0,5.0,9.0,6.0,1.0,2.0,14.0,15.0,0.75,0.35,0.4783163265306122,0.4125
38,ATL2020-12-26,64.0,17.0,41.0,7.0,16.0,0.4375,23.0,28.0,10.0,20.0,30.0,11.0,9.0,0.0,4.0,3.0,8.0,18.0,0.8214285714285714,0.4146341463414634,0.6001500375093773,0.5
39,CHA2020-12-26,48.0,16.0,51.0,8.0,18.0,0.4444444444444444,8.0,15.0,8.0,19.0,27.0,12.0,6.0,8.0,4.0,5.0,11.0,11.0,0.5333333333333333,0.3137254901960784,0.4166666666666666,0.392156862745098
40,CHI2020-12-26,50.0,15.0,44.0,8.0,20.0,0.4,12.0,13.0,7.0,13.0,20.0,11.0,9.0,5.0,5.0,2.0,5.0,14.0,0.9230769230769232,0.3409090909090909,0.502815768302494,0.4318181818181818
41,CLE2020-12-26,42.0,14.0,38.0,5.0,12.0,0.4166666666666667,9.0,16.0,4.0,17.0,21.0,12.0,10.0,7.0,2.0,4.0,12.0,9.0,0.5625,0.3684210526315789,0.4662522202486678,0.4342105263157895
42,DET2020-12-26,48.0,17.0,41.0,5.0,20.0,0.25,9.0,11.0,5.0,23.0,28.0,10.0,12.0,7.0,4.0,2.0,9.0,12.0,0.8181818181818182,0.4146341463414634,0.5235602094240838,0.4756097560975609
43,HOU2020-12-26,45.0,16.0,38.0,2.0,14.0,0.1428571428571428,11.0,15.0,5.0,14.0,19.0,9.0,8.0,3.0,1.0,3.0,11.0,10.0,0.7333333333333333,0.4210526315789473,0.5044843049327354,0.4473684210526316
44,IND2020-12-26,59.0,25.0,47.0,6.0,13.0,0.4615384615384615,3.0,3.0,5.0,21.0,26.0,18.0,10.0,6.0,2.0,5.0,14.0,5.0,1.0,0.5319148936170213,0.6105132450331126,0.5957446808510638
45,MEM2020-12-26,56.0,18.0,47.0,8.0,23.0,0.3478260869565217,12.0,12.0,4.0,15.0,19.0,10.0,3.0,4.0,3.0,4.0,18.0,8.0,1.0,0.3829787234042553,0.5355776587605202,0.4680851063829787
46,MIN2020-12-26,48.0,20.0,51.0,2.0,9.0,0.2222222222222222,6.0,9.0,8.0,14.0,22.0,8.0,6.0,2.0,2.0,2.0,15.0,12.0,0.6666666666666666,0.392156862745098,0.4366812227074236,0.4117647058823529
47,NYK2020-12-26,34.0,12.0,36.0,2.0,11.0,0.1818181818181818,8.0,9.0,4.0,15.0,19.0,9.0,10.0,4.0,2.0,3.0,12.0,8.0,0.8888888888888888,0.3333333333333333,0.4254254254254254,0.3611111111111111
48,OKC2020-12-26,52.0,18.0,43.0,8.0,20.0,0.4,8.0,13.0,5.0,26.0,31.0,12.0,12.0,5.0,5.0,4.0,11.0,11.0,0.6153846153846154,0.4186046511627907,0.5336617405582923,0.5116279069767442
49,ORL2020-12-26,67.0,26.0,49.0,6.0,15.0,0.4,9.0,12.0,5.0,22.0,27.0,16.0,5.0,2.0,0.0,2.0,8.0,12.0,0.75,0.5306122448979592,0.6171702284450995,0.5918367346938775
50,PHI2020-12-26,49.0,18.0,40.0,6.0,15.0,0.4,7.0,10.0,6.0,17.0,23.0,9.0,8.0,6.0,3.0,2.0,8.0,12.0,0.7,0.45,0.5518018018018018,0.525
51,PHX2020-12-26,49.0,18.0,47.0,6.0,22.0,0.2727272727272727,7.0,10.0,6.0,18.0,24.0,12.0,5.0,3.0,1.0,4.0,15.0,13.0,0.7,0.3829787234042553,0.4766536964980545,0.4468085106382978
52,POR2020-12-26,55.0,19.0,42.0,9.0,22.0,0.4090909090909091,8.0,12.0,3.0,19.0,22.0,11.0,8.0,5.0,3.0,1.0,10.0,11.0,0.6666666666666666,0.4523809523809524,0.5816412859560067,0.5595238095238095
53,SAC2020-12-26,48.0,17.0,42.0,1.0,9.0,0.1111111111111111,13.0,22.0,9.0,23.0,32.0,5.0,7.0,1.0,4.0,1.0,13.0,15.0,0.5909090909090909,0.4047619047619047,0.4643962848297213,0.4166666666666667
54,SAS2020-12-26,58.0,22.0,47.0,6.0,15.0,0.4,8.0,13.0,9.0,21.0,30.0,17.0,9.0,1.0,2.0,7.0,9.0,13.0,0.6153846153846154,0.4680851063829787,0.5500758725341427,0.5319148936170213
55,TOR2020-12-26,56.0,21.0,47.0,9.0,21.0,0.4285714285714285,5.0,7.0,3.0,16.0,19.0,15.0,5.0,3.0,7.0,2.0,13.0,9.0,0.7142857142857143,0.4468085106382978,0.5591054313099042,0.5425531914893617
56,UTA2020-12-26,58.0,19.0,49.0,5.0,19.0,0.2631578947368421,15.0,21.0,11.0,21.0,32.0,5.0,7.0,4.0,2.0,2.0,12.0,15.0,0.7142857142857143,0.3877551020408163,0.4979395604395604,0.4387755102040816
57,WAS2020-12-26,61.0,26.0,52.0,4.0,18.0,0.2222222222222222,5.0,12.0,4.0,17.0,21.0,14.0,3.0,4.0,2.0,0.0,12.0,8.0,0.4166666666666667,0.5,0.5324720670391061,0.5384615384615384
58,BOS2020-12-27,52.0,18.0,43.0,3.0,10.0,0.3,13.0,16.0,5.0,15.0,20.0,8.0,7.0,7.0,3.0,5.0,12.0,13.0,0.8125,0.4186046511627907,0.5195843325339728,0.4534883720930232
59,BKN2020-12-27,54.0,17.0,39.0,10.0,22.0,0.4545454545454545,10.0,15.0,3.0,19.0,22.0,12.0,10.0,2.0,0.0,2.0,9.0,15.0,0.6666666666666666,0.4358974358974359,0.5921052631578947,0.5641025641025641
