,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT,TS_PCT,eFG_PCT
0,BKN2020-12-22,99.0,33.0,67.0,12.0,25.0,0.48,21.0,27.0,7.0,35.0,42.0,18.0,17.0,10.0,7.0,6.0,15.0,20.0,0.7777777777777778,0.4925373134328358,0.6275354969574037,0.582089552238806
1,GSW2020-12-22,71.0,27.0,75.0,6.0,25.0,0.24,11.0,15.0,8.0,24.0,32.0,19.0,16.0,6.0,6.0,7.0,20.0,15.0,0.7333333333333333,0.36,0.4350490196078431,0.4
2,LAC2020-12-22,89.0,34.0,69.0,11.0,29.0,0.3793103448275862,10.0,14.0,5.0,27.0,32.0,16.0,14.0,9.0,1.0,0.0,23.0,17.0,0.7142857142857143,0.4927536231884058,0.5920702501330495,0.572463768115942
3,LAL2020-12-22,78.0,27.0,65.0,7.0,25.0,0.28,17.0,23.0,5.0,30.0,35.0,14.0,14.0,3.0,0.0,1.0,17.0,23.0,0.7391304347826086,0.4153846153846154,0.5191693290734823,0.4692307692307692
4,ATL2020-12-23,111.0,37.0,60.0,13.0,29.0,0.4482758620689655,24.0,28.0,3.0,31.0,34.0,21.0,16.0,5.0,2.0,2.0,21.0,20.0,0.8571428571428571,0.6166666666666667,0.7674225663716815,0.725
5,BOS2020-12-23,101.0,38.0,76.0,17.0,34.0,0.5,8.0,11.0,7.0,22.0,29.0,23.0,5.0,8.0,5.0,4.0,10.0,16.0,0.7272727272727273,0.5,0.6246907471548738,0.6118421052631579
6,CHA2020-12-23,80.0,32.0,67.0,11.0,31.0,0.3548387096774194,5.0,9.0,6.0,19.0,25.0,23.0,11.0,8.0,4.0,3.0,13.0,14.0,0.5555555555555556,0.4776119402985074,0.5636978579481399,0.5597014925373134
7,CHI2020-12-23,79.0,27.0,69.0,6.0,29.0,0.2068965517241379,19.0,22.0,7.0,21.0,28.0,15.0,14.0,8.0,2.0,2.0,20.0,21.0,0.8636363636363636,0.391304347826087,0.502033553634977,0.4347826086956521
8,CLE2020-12-23,93.0,36.0,69.0,10.0,23.0,0.4347826086956521,11.0,15.0,8.0,31.0,39.0,28.0,13.0,9.0,3.0,4.0,14.0,13.0,0.7333333333333333,0.5217391304347826,0.6150793650793651,0.5942028985507246
9,DAL2020-12-23,71.0,23.0,64.0,8.0,29.0,0.2758620689655172,17.0,21.0,5.0,25.0,30.0,13.0,9.0,5.0,0.0,6.0,17.0,22.0,0.8095238095238095,0.359375,0.4847078099399236,0.421875
