,HomeDaysRest,AwayDaysRest,ConferenceBinary,OpponentConferenceBinary,S2015,S2016,S2017,S2018,S2019,S2020,S2021,S2022,HomeQ3,AwayQ3,Avg_HOFFRATING,Avg_HDEFRATING,Avg_AOFFRATING,Avg_ADEFRATING
59,1.0,1.0,0,0,0,0,0,0,0,1,0,0,88.0,81.0,112.98333333333333,108.43333333333332,113.30000000000001,112.58333333333333
60,3.0,2.0,0,1,0,0,0,0,0,1,0,0,71.0,85.0,115.3,111.05,106.48333333333335,117.01666666666667
61,3.0,2.0,0,1,0,0,0,0,0,1,0,0,74.0,69.0,113.46666666666668,111.09999999999998,108.51666666666665,114.59999999999998
62,3.0,2.0,0,1,0,0,0,0,0,1,0,0,81.0,74.0,112.76666666666667,109.16666666666667,112.38333333333334,111.73333333333333
63,2.0,2.0,0,0,0,0,0,0,0,1,0,0,90.0,89.0,112.61666666666666,112.16666666666667,108.25000000000001,116.08333333333333
64,2.0,1.0,0,0,0,0,0,0,0,1,0,0,76.0,70.0,114.55000000000001,111.08333333333333,124.58333333333333,116.96666666666665
65,2.0,3.0,0,0,0,0,0,0,0,1,0,0,100.0,74.0,113.51666666666667,110.66666666666664,110.13333333333333,112.96666666666668
66,2.0,2.0,0,0,0,0,0,0,0,1,0,0,89.0,93.0,114.28333333333335,107.36666666666667,113.85000000000001,122.75
67,2.0,2.0,0,0,0,0,0,0,0,1,0,0,87.0,84.0,118.98333333333333,109.58333333333333,112.05000000000001,112.89999999999999
68,2.0,2.0,0,0,0,0,0,0,0,1,0,0,97.0,87.0,119.05000000000001,112.51666666666667,109.05,117.66666666666667
69,2.0,2.0,0,1,0,0,0,0,0,1,0,0,82.0,72.0,121.18333333333334,111.10000000000001,104.14999999999999,111.39999999999999
70,2.0,2.0,0,1,0,0,0,0,0,1,0,0,100.0,96.0,122.68333333333334,110.7,110.8,106.2
71,2.0,2.0,0,0,0,0,0,0,0,1,0,0,81.0,82.0,125.60000000000001,112.06666666666666,109.66666666666667,112.89999999999999
72,2.0,1.0,0,1,0,0,0,0,0,1,0,0,76.0,71.0,121.55,115.96666666666665,103.98333333333333,105.65000000000002
73,5.0,5.0,0,1,0,0,0,0,0,1,0,0,79.0,94.0,116.24999999999999,109.61666666666667,107.01666666666665,108.78333333333335
74,1.0,2.0,0,0,0,0,0,0,0,1,0,0,87.0,92.0,115.35000000000001,111.56666666666666,114.88333333333333,117.88333333333333
75,2.0,1.0,0,0,0,0,0,0,0,1,0,0,79.0,88.0,115.01666666666667,114.96666666666665,107.86666666666667,108.88333333333333
76,2.0,3.0,0,1,0,0,0,0,1,0,0,0,76.0,82.0,112.06666666666668,100.48333333333333,106.2,106.4833333333333
78,2.0,2.0,0,0,0,0,0,0,1,0,0,0,76.0,86.0,114.03333333333332,108.86666666666667,104.33333333333336,103.96666666666668
79,2.0,2.0,0,1,0,0,0,0,1,0,0,0,109.0,73.0,111.98333333333333,110.8,102.46666666666665,108.26666666666665
80,2.0,3.0,0,1,0,0,0,0,1,0,0,0,80.0,68.0,115.05,108.13333333333334,107.11666666666667,106.75
81,3.0,2.0,0,0,0,0,0,0,1,0,0,0,89.0,71.0,116.80000000000001,107.80000000000001,109.90000000000002,105.94999999999999
82,2.0,2.0,0,0,0,0,0,0,1,0,0,0,84.0,83.0,116.73333333333335,103.73333333333333,108.0,104.05
83,4.0,2.0,0,0,0,0,0,0,1,0,0,0,82.0,76.0,118.25,103.21666666666665,108.35000000000001,101.06666666666666
84,2.0,2.0,0,1,0,0,0,0,1,0,0,0,68.0,72.0,117.60000000000001,99.64999999999999,116.21666666666665,107.78333333333335
85,2.0,2.0,0,0,0,0,0,0,1,0,0,0,105.0,95.0,116.63333333333334,94.98333333333333,101.71666666666665,107.06666666666666
86,2.0,2.0,0,0,0,0,0,0,1,0,0,0,78.0,75.0,116.13333333333333,99.65000000000002,108.88333333333333,116.13333333333334
87,3.0,3.0,0,1,0,0,0,0,1,0,0,0,82.0,84.0,114.58333333333333,101.88333333333333,104.26666666666667,118.10000000000001
88,2.0,3.0,0,1,0,0,0,0,1,0,0,0,89.0,84.0,115.26666666666667,107.13333333333333,112.68333333333334,117.0
89,1.0,2.0,0,0,0,0,0,0,1,0,0,0,93.0,88.0,116.30000000000001,107.5,99.26666666666667,105.38333333333334
90,2.0,2.0,0,0,0,0,0,0,1,0,0,0,83.0,112.0,117.69999999999999,109.89999999999999,118.0,110.81666666666668
91,2.0,2.0,0,1,0,0,0,0,1,0,0,0,103.0,73.0,118.8,118.30000000000001,103.31666666666666,112.83333333333333
92,2.0,1.0,0,1,0,0,0,0,1,0,0,0,101.0,76.0,121.68333333333334,117.43333333333334,108.14999999999999,120.53333333333332
93,2.0,1.0,0,0,0,0,0,0,1,0,0,0,98.0,81.0,126.5,118.73333333333333,105.03333333333335,116.0
94,1.0,3.0,0,1,0,0,0,0,1,0,0,0,107.0,96.0,127.26666666666667,114.68333333333334,108.09999999999998,108.73333333333335
95,2.0,3.0,0,0,0,0,0,0,1,0,0,0,113.0,95.0,126.56666666666666,113.44999999999999,110.91666666666667,116.14999999999999
96,3.0,1.0,0,1,0,0,0,0,1,0,0,0,83.0,70.0,130.79999999999998,116.38333333333333,107.7,106.43333333333334
97,2.0,3.0,0,0,0,0,0,0,1,0,0,0,93.0,91.0,129.43333333333334,106.88333333333333,100.21666666666668,110.13333333333333
98,2.0,3.0,0,0,0,0,0,0,1,0,0,0,91.0,78.0,124.80000000000001,106.84999999999998,119.41666666666667,113.14999999999999
99,2.0,1.0,0,0,0,0,0,0,1,0,0,0,70.0,81.0,120.58333333333333,105.64999999999999,110.39999999999999,115.11666666666667
100,2.0,1.0,0,0,0,0,0,0,1,0,0,0,93.0,96.0,116.43333333333332,108.26666666666665,110.68333333333334,113.80000000000001
101,4.0,2.0,0,0,0,0,0,0,1,0,0,0,94.0,78.0,113.88333333333333,109.48333333333333,115.36666666666666,123.75
102,2.0,2.0,0,0,0,0,0,0,1,0,0,0,79.0,89.0,112.60000000000001,105.71666666666665,108.46666666666668,120.10000000000001
103,2.0,2.0,0,1,0,0,0,0,1,0,0,0,79.0,75.0,113.39999999999999,109.19999999999999,105.21666666666665,111.48333333333333
104,2.0,2.0,0,1,0,0,0,0,1,0,0,0,81.0,62.0,112.63333333333334,108.73333333333333,108.75,120.5
