,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2021-10-19 23:30:00+00:00,Team.BROOKLYN_NETS,Team.MILWAUKEE_BUCKS,104,127,2022
1,2021-10-20 02:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.LOS_ANGELES_LAKERS,121,114,2022
2,2021-10-20 23:00:00+00:00,Team.INDIANA_PACERS,Team.CHARLOTTE_HORNETS,122,123,2022
3,2021-10-20 23:00:00+00:00,Team.CHICAGO_BULLS,Team.DETROIT_PISTONS,94,88,2022
4,2021-10-20 23:30:00+00:00,Team.BOSTON_CELTICS,Team.NEW_YORK_KNICKS,134,138,2022
5,2021-10-20 23:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.TORONTO_RAPTORS,98,83,2022
6,2021-10-21 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.MEMPHIS_GRIZZLIES,121,132,2022
7,2021-10-21 00:00:00+00:00,Team.HOUSTON_ROCKETS,Team.MINNESOTA_TIMBERWOLVES,106,124,2022
8,2021-10-21 00:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.NEW_ORLEANS_PELICANS,117,97,2022
9,2021-10-21 00:30:00+00:00,Team.ORLANDO_MAGIC,Team.SAN_ANTONIO_SPURS,97,123,2022
10,2021-10-21 01:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.UTAH_JAZZ,86,107,2022
11,2021-10-21 02:00:00+00:00,Team.SACRAMENTO_KINGS,Team.PORTLAND_TRAIL_BLAZERS,124,121,2022
12,2021-10-21 02:00:00+00:00,Team.DENVER_NUGGETS,Team.PHOENIX_SUNS,110,98,2022
13,2021-10-21 23:30:00+00:00,Team.DALLAS_MAVERICKS,Team.ATLANTA_HAWKS,87,113,2022
14,2021-10-22 00:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.MIAMI_HEAT,95,137,2022
15,2021-10-22 02:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.GOLDEN_STATE_WARRIORS,113,115,2022
16,2021-10-22 23:00:00+00:00,Team.NEW_YORK_KNICKS,Team.ORLANDO_MAGIC,121,96,2022
17,2021-10-22 23:00:00+00:00,Team.INDIANA_PACERS,Team.WASHINGTON_WIZARDS,134,135,2022
