,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT,TS_PCT,eFG_PCT
0,BKN2020-12-22,63.0,23.0,47.0,9.0,20.0,0.45,8.0,9.0,4.0,24.0,28.0,11.0,13.0,5.0,6.0,2.0,10.0,10.0,0.8888888888888888,0.4893617021276595,0.6181318681318682,0.5851063829787234
1,GSW2020-12-22,45.0,17.0,53.0,4.0,17.0,0.2352941176470588,7.0,10.0,6.0,17.0,23.0,10.0,9.0,4.0,2.0,6.0,10.0,10.0,0.7,0.320754716981132,0.39198606271777,0.3584905660377358
2,LAC2020-12-22,56.0,21.0,45.0,7.0,21.0,0.3333333333333333,7.0,9.0,3.0,18.0,21.0,12.0,12.0,7.0,0.0,0.0,17.0,12.0,0.7777777777777778,0.4666666666666667,0.5718954248366013,0.5444444444444444
3,LAL2020-12-22,54.0,17.0,40.0,5.0,17.0,0.2941176470588235,15.0,20.0,3.0,21.0,24.0,10.0,11.0,3.0,0.0,0.0,12.0,17.0,0.75,0.425,0.5532786885245902,0.4875
4,ATL2020-12-23,83.0,29.0,43.0,10.0,20.0,0.5,15.0,18.0,2.0,18.0,20.0,15.0,9.0,4.0,1.0,1.0,10.0,14.0,0.8333333333333334,0.6744186046511628,0.8150039277297721,0.7906976744186046
5,BOS2020-12-23,64.0,24.0,53.0,12.0,25.0,0.48,4.0,6.0,6.0,16.0,22.0,15.0,4.0,5.0,1.0,2.0,4.0,9.0,0.6666666666666666,0.4528301886792453,0.5751258087706685,0.5660377358490566
6,CHA2020-12-23,44.0,19.0,43.0,3.0,15.0,0.2,3.0,6.0,4.0,10.0,14.0,16.0,8.0,6.0,3.0,2.0,9.0,8.0,0.5,0.4418604651162791,0.4820333041191937,0.4767441860465116
7,CHI2020-12-23,59.0,21.0,49.0,6.0,21.0,0.2857142857142857,11.0,12.0,7.0,13.0,20.0,11.0,10.0,4.0,1.0,1.0,14.0,10.0,0.9166666666666666,0.4285714285714285,0.5434782608695652,0.4897959183673469
8,CLE2020-12-23,65.0,26.0,45.0,5.0,14.0,0.3571428571428571,8.0,9.0,5.0,22.0,27.0,20.0,7.0,6.0,2.0,3.0,8.0,9.0,0.8888888888888888,0.5777777777777777,0.6638071895424836,0.6333333333333333
9,DAL2020-12-23,45.0,15.0,47.0,5.0,19.0,0.2631578947368421,10.0,13.0,5.0,17.0,22.0,9.0,6.0,4.0,0.0,6.0,11.0,16.0,0.7692307692307693,0.3191489361702128,0.4267830045523521,0.3723404255319149
10,DEN2020-12-23,60.0,23.0,45.0,5.0,12.0,0.4166666666666667,9.0,10.0,7.0,21.0,28.0,13.0,8.0,2.0,4.0,4.0,10.0,11.0,0.9,0.5111111111111111,0.6072874493927126,0.5666666666666667
11,DET2020-12-23,57.0,25.0,49.0,5.0,18.0,0.2777777777777778,2.0,4.0,4.0,19.0,23.0,17.0,5.0,1.0,1.0,1.0,11.0,9.0,0.5,0.5102040816326531,0.5614657210401891,0.5612244897959183
12,IND2020-12-23,61.0,23.0,47.0,4.0,19.0,0.2105263157894736,11.0,16.0,4.0,16.0,20.0,13.0,9.0,5.0,4.0,3.0,11.0,14.0,0.6875,0.4893617021276595,0.5643967431532199,0.5319148936170213
13,MEM2020-12-23,53.0,21.0,50.0,9.0,19.0,0.4736842105263157,2.0,5.0,5.0,18.0,23.0,10.0,5.0,2.0,5.0,3.0,6.0,6.0,0.4,0.42,0.5076628352490421,0.51
14,MIA2020-12-23,53.0,21.0,39.0,5.0,8.0,0.625,6.0,7.0,2.0,14.0,16.0,13.0,12.0,8.0,2.0,2.0,7.0,8.0,0.8571428571428571,0.5384615384615384,0.6297528517110267,0.6025641025641025
15,MIL2020-12-23,59.0,24.0,45.0,7.0,19.0,0.3684210526315789,4.0,4.0,3.0,23.0,26.0,13.0,9.0,3.0,2.0,1.0,9.0,4.0,1.0,0.5333333333333333,0.6308810949529513,0.6111111111111112
16,MIN2020-12-23,56.0,19.0,43.0,4.0,18.0,0.2222222222222222,14.0,17.0,6.0,17.0,23.0,11.0,4.0,0.0,1.0,1.0,9.0,11.0,0.8235294117647058,0.4418604651162791,0.554675118858954,0.4883720930232558
17,NOP2020-12-23,50.0,19.0,41.0,8.0,22.0,0.3636363636363636,4.0,12.0,5.0,17.0,22.0,16.0,15.0,7.0,3.0,3.0,11.0,13.0,0.3333333333333333,0.4634146341463415,0.54019014693172,0.5609756097560976
18,NYK2020-12-23,66.0,24.0,43.0,8.0,15.0,0.5333333333333333,10.0,11.0,1.0,18.0,19.0,15.0,10.0,7.0,3.0,4.0,14.0,11.0,0.9090909090909092,0.5581395348837209,0.6897993311036789,0.6511627906976745
19,ORL2020-12-23,56.0,24.0,46.0,4.0,12.0,0.3333333333333333,4.0,9.0,6.0,13.0,19.0,11.0,11.0,9.0,2.0,2.0,8.0,7.0,0.4444444444444444,0.5217391304347826,0.5604483586869495,0.5652173913043478
