,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2014-10-29 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.NEW_ORLEANS_PELICANS,84,101,2015
1,2014-10-29 00:00:00+00:00,Team.DALLAS_MAVERICKS,Team.SAN_ANTONIO_SPURS,100,101,2015
2,2014-10-29 02:30:00+00:00,Team.HOUSTON_ROCKETS,Team.LOS_ANGELES_LAKERS,108,90,2015
3,2014-10-29 23:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.CHARLOTTE_HORNETS,106,108,2015
4,2014-10-29 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.INDIANA_PACERS,91,103,2015
5,2014-10-29 23:30:00+00:00,Team.ATLANTA_HAWKS,Team.TORONTO_RAPTORS,102,109,2015
6,2014-10-29 23:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.MIAMI_HEAT,95,107,2015
7,2014-10-29 23:30:00+00:00,Team.BROOKLYN_NETS,Team.BOSTON_CELTICS,105,121,2015
8,2014-10-30 00:00:00+00:00,Team.CHICAGO_BULLS,Team.NEW_YORK_KNICKS,104,80,2015
9,2014-10-30 00:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.MEMPHIS_GRIZZLIES,101,105,2015
10,2014-10-30 01:00:00+00:00,Team.DETROIT_PISTONS,Team.DENVER_NUGGETS,79,89,2015
11,2014-10-30 01:00:00+00:00,Team.HOUSTON_ROCKETS,Team.UTAH_JAZZ,104,93,2015
12,2014-10-30 02:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.PHOENIX_SUNS,99,119,2015
13,2014-10-30 02:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.SACRAMENTO_KINGS,95,77,2015
14,2014-10-30 02:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.PORTLAND_TRAIL_BLAZERS,89,106,2015
15,2014-10-30 23:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.ORLANDO_MAGIC,105,98,2015
16,2014-10-31 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.CLEVELAND_CAVALIERS,95,90,2015
17,2014-10-31 00:00:00+00:00,Team.DETROIT_PISTONS,Team.MINNESOTA_TIMBERWOLVES,91,97,2015
18,2014-10-31 00:30:00+00:00,Team.UTAH_JAZZ,Team.DALLAS_MAVERICKS,102,120,2015
19,2014-10-31 02:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.LOS_ANGELES_CLIPPERS,90,93,2015
20,2014-10-31 23:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.INDIANA_PACERS,97,89,2015
21,2014-11-01 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.CHICAGO_BULLS,114,108,2015
22,2014-11-01 00:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.MILWAUKEE_BUCKS,81,93,2015
23,2014-11-01 02:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.PHOENIX_SUNS,89,94,2015
