,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT
27,WAS2020-12-23,24.0,8.0,22.0,2.0,6.0,0.3333333333333333,6.0,8.0,4.0,5.0,9.0,4.0,4.0,0.0,1.0,2.0,9.0,6.0,0.75,0.3636363636363636
28,BOS2020-12-25,18.0,7.0,24.0,1.0,5.0,0.2,3.0,4.0,4.0,6.0,10.0,4.0,4.0,1.0,1.0,3.0,6.0,4.0,0.75,0.2916666666666667
29,BKN2020-12-25,37.0,12.0,20.0,5.0,7.0,0.7142857142857143,8.0,8.0,2.0,11.0,13.0,6.0,3.0,0.0,3.0,1.0,4.0,6.0,1.0,0.6
30,DAL2020-12-25,30.0,12.0,20.0,2.0,7.0,0.2857142857142857,4.0,6.0,0.0,5.0,5.0,6.0,1.0,0.0,1.0,0.0,5.0,5.0,0.6666666666666666,0.6
31,DEN2020-12-25,29.0,12.0,22.0,5.0,12.0,0.4166666666666667,0.0,0.0,3.0,6.0,9.0,6.0,2.0,1.0,0.0,1.0,2.0,4.0,,0.5454545454545454
32,GSW2020-12-25,23.0,7.0,22.0,1.0,7.0,0.1428571428571428,8.0,9.0,2.0,6.0,8.0,2.0,3.0,1.0,2.0,0.0,2.0,7.0,0.8888888888888888,0.3181818181818182
33,LAC2020-12-25,23.0,10.0,17.0,3.0,7.0,0.4285714285714285,0.0,0.0,0.0,5.0,5.0,7.0,4.0,1.0,1.0,0.0,4.0,2.0,,0.5882352941176471
34,LAL2020-12-25,39.0,14.0,24.0,7.0,9.0,0.7777777777777778,4.0,5.0,5.0,8.0,13.0,9.0,2.0,1.0,0.0,1.0,5.0,5.0,0.8,0.5833333333333334
35,MIA2020-12-25,23.0,8.0,18.0,2.0,10.0,0.2,5.0,8.0,1.0,10.0,11.0,6.0,5.0,4.0,2.0,0.0,6.0,7.0,0.625,0.4444444444444444
36,MIL2020-12-25,38.0,14.0,22.0,8.0,10.0,0.8,2.0,2.0,2.0,12.0,14.0,8.0,5.0,2.0,0.0,2.0,7.0,2.0,1.0,0.6363636363636364
37,NOP2020-12-25,19.0,6.0,20.0,3.0,10.0,0.3,4.0,5.0,3.0,10.0,13.0,3.0,6.0,2.0,0.0,2.0,7.0,6.0,0.8,0.3
