,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2015-10-28 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.CHICAGO_BULLS,95,97,2016
1,2015-10-28 00:00:00+00:00,Team.DETROIT_PISTONS,Team.ATLANTA_HAWKS,106,94,2016
2,2015-10-28 02:30:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.GOLDEN_STATE_WARRIORS,95,111,2016
3,2015-10-28 23:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.ORLANDO_MAGIC,88,87,2016
4,2015-10-28 23:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.BOSTON_CELTICS,95,112,2016
5,2015-10-28 23:30:00+00:00,Team.CHICAGO_BULLS,Team.BROOKLYN_NETS,115,100,2016
6,2015-10-28 23:30:00+00:00,Team.UTAH_JAZZ,Team.DETROIT_PISTONS,87,92,2016
7,2015-10-28 23:30:00+00:00,Team.INDIANA_PACERS,Team.TORONTO_RAPTORS,99,106,2016
8,2015-10-28 23:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.MIAMI_HEAT,94,104,2016
9,2015-10-29 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.MILWAUKEE_BUCKS,122,97,2016
10,2015-10-29 00:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.OKLAHOMA_CITY_THUNDER,106,112,2016
11,2015-10-29 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.MEMPHIS_GRIZZLIES,106,76,2016
12,2015-10-29 00:00:00+00:00,Team.DENVER_NUGGETS,Team.HOUSTON_ROCKETS,105,85,2016
13,2015-10-29 02:00:00+00:00,Team.DALLAS_MAVERICKS,Team.PHOENIX_SUNS,111,95,2016
14,2015-10-29 02:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.PORTLAND_TRAIL_BLAZERS,94,112,2016
15,2015-10-29 02:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.SACRAMENTO_KINGS,111,104,2016
16,2015-10-29 02:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.LOS_ANGELES_LAKERS,112,111,2016
17,2015-10-29 23:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.INDIANA_PACERS,112,103,2016
18,2015-10-30 00:00:00+00:00,Team.ATLANTA_HAWKS,Team.NEW_YORK_KNICKS,112,101,2016
19,2015-10-30 02:30:00+00:00,Team.DALLAS_MAVERICKS,Team.LOS_ANGELES_CLIPPERS,88,104,2016
20,2015-10-30 23:00:00+00:00,Team.MIAMI_HEAT,Team.CLEVELAND_CAVALIERS,92,102,2016
21,2015-10-30 23:00:00+00:00,Team.UTAH_JAZZ,Team.PHILADELPHIA_76ERS,99,71,2016
22,2015-10-30 23:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.ORLANDO_MAGIC,139,136,2016
23,2015-10-30 23:30:00+00:00,Team.TORONTO_RAPTORS,Team.BOSTON_CELTICS,113,103,2016
24,2015-10-30 23:30:00+00:00,Team.CHICAGO_BULLS,Team.DETROIT_PISTONS,94,98,2016
25,2015-10-31 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.ATLANTA_HAWKS,94,97,2016
26,2015-10-31 00:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.MILWAUKEE_BUCKS,118,113,2016
27,2015-10-31 00:30:00+00:00,Team.BROOKLYN_NETS,Team.SAN_ANTONIO_SPURS,75,102,2016
28,2015-10-31 01:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.DENVER_NUGGETS,95,78,2016
29,2015-10-31 01:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.HOUSTON_ROCKETS,112,92,2016
30,2015-10-31 02:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.SACRAMENTO_KINGS,114,132,2016
31,2015-10-31 02:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.PHOENIX_SUNS,92,110,2016
32,2015-10-31 23:00:00+00:00,Team.UTAH_JAZZ,Team.INDIANA_PACERS,97,76,2016
33,2015-10-31 23:00:00+00:00,Team.NEW_YORK_KNICKS,Team.WASHINGTON_WIZARDS,117,110,2016
34,2015-10-31 23:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.NEW_ORLEANS_PELICANS,134,120,2016
35,2015-11-01 00:00:00+00:00,Team.BROOKLYN_NETS,Team.MEMPHIS_GRIZZLIES,91,101,2016
36,2015-11-01 02:00:00+00:00,Team.PHOENIX_SUNS,Team.PORTLAND_TRAIL_BLAZERS,101,90,2016
37,2015-11-01 02:30:00+00:00,Team.SACRAMENTO_KINGS,Team.LOS_ANGELES_CLIPPERS,109,114,2016
38,2015-11-01 19:00:00+00:00,Team.ATLANTA_HAWKS,Team.CHARLOTTE_HORNETS,94,92,2016
39,2015-11-01 20:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.BOSTON_CELTICS,95,87,2016
40,2015-11-01 23:00:00+00:00,Team.HOUSTON_ROCKETS,Team.MIAMI_HEAT,89,109,2016
41,2015-11-01 23:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.TORONTO_RAPTORS,87,106,2016
42,2015-11-02 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.CHICAGO_BULLS,87,92,2016
43,2015-11-02 00:00:00+00:00,Team.DENVER_NUGGETS,Team.OKLAHOMA_CITY_THUNDER,93,117,2016
44,2015-11-02 02:30:00+00:00,Team.DALLAS_MAVERICKS,Team.LOS_ANGELES_LAKERS,103,93,2016
45,2015-11-03 00:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.PHILADELPHIA_76ERS,107,100,2016
46,2015-11-03 00:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.BROOKLYN_NETS,103,96,2016
47,2015-11-03 00:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.NEW_YORK_KNICKS,94,84,2016
48,2015-11-03 01:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.HOUSTON_ROCKETS,105,110,2016
49,2015-11-03 01:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.MINNESOTA_TIMBERWOLVES,106,101,2016
50,2015-11-03 03:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.GOLDEN_STATE_WARRIORS,69,119,2016
51,2015-11-03 03:30:00+00:00,Team.PHOENIX_SUNS,Team.LOS_ANGELES_CLIPPERS,96,102,2016
52,2015-11-04 00:00:00+00:00,Team.CHICAGO_BULLS,Team.CHARLOTTE_HORNETS,105,130,2016
53,2015-11-04 00:30:00+00:00,Team.INDIANA_PACERS,Team.DETROIT_PISTONS,94,82,2016
54,2015-11-04 00:30:00+00:00,Team.ATLANTA_HAWKS,Team.MIAMI_HEAT,98,92,2016
55,2015-11-04 01:00:00+00:00,Team.ORLANDO_MAGIC,Team.NEW_ORLEANS_PELICANS,103,94,2016
56,2015-11-04 01:30:00+00:00,Team.TORONTO_RAPTORS,Team.DALLAS_MAVERICKS,102,91,2016
57,2015-11-04 03:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.SACRAMENTO_KINGS,103,89,2016
58,2015-11-04 03:30:00+00:00,Team.DENVER_NUGGETS,Team.LOS_ANGELES_LAKERS,120,109,2016
59,2015-11-05 00:00:00+00:00,Team.BOSTON_CELTICS,Team.INDIANA_PACERS,98,100,2016
60,2015-11-05 00:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.WASHINGTON_WIZARDS,99,102,2016
61,2015-11-05 01:00:00+00:00,Team.BROOKLYN_NETS,Team.ATLANTA_HAWKS,87,101,2016
62,2015-11-05 01:00:00+00:00,Team.NEW_YORK_KNICKS,Team.CLEVELAND_CAVALIERS,86,96,2016
63,2015-11-05 01:00:00+00:00,Team.ORLANDO_MAGIC,Team.HOUSTON_ROCKETS,114,119,2016
64,2015-11-05 01:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.MILWAUKEE_BUCKS,87,91,2016
65,2015-11-05 01:00:00+00:00,Team.TORONTO_RAPTORS,Team.OKLAHOMA_CITY_THUNDER,103,98,2016
66,2015-11-05 02:00:00+00:00,Team.SACRAMENTO_KINGS,Team.PHOENIX_SUNS,97,118,2016
67,2015-11-05 02:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.UTAH_JAZZ,108,92,2016
68,2015-11-05 03:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.GOLDEN_STATE_WARRIORS,108,112,2016
69,2015-11-06 01:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.CHICAGO_BULLS,98,104,2016
70,2015-11-06 01:00:00+00:00,Team.MIAMI_HEAT,Team.MINNESOTA_TIMBERWOLVES,96,84,2016
71,2015-11-06 01:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.DALLAS_MAVERICKS,108,94,2016
72,2015-11-06 02:00:00+00:00,Team.UTAH_JAZZ,Team.DENVER_NUGGETS,96,84,2016
