,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2017-10-18 00:01:00+00:00,Team.BOSTON_CELTICS,Team.CLEVELAND_CAVALIERS,99,102,2018
1,2017-10-18 02:30:00+00:00,Team.HOUSTON_ROCKETS,Team.GOLDEN_STATE_WARRIORS,122,121,2018
2,2017-10-18 23:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.DETROIT_PISTONS,90,102,2018
3,2017-10-18 23:00:00+00:00,Team.BROOKLYN_NETS,Team.INDIANA_PACERS,131,140,2018
4,2017-10-18 23:00:00+00:00,Team.MIAMI_HEAT,Team.ORLANDO_MAGIC,109,116,2018
5,2017-10-18 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.WASHINGTON_WIZARDS,115,120,2018
6,2017-10-18 23:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.BOSTON_CELTICS,108,100,2018
7,2017-10-19 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.MEMPHIS_GRIZZLIES,91,103,2018
8,2017-10-19 00:30:00+00:00,Team.ATLANTA_HAWKS,Team.DALLAS_MAVERICKS,117,111,2018
9,2017-10-19 01:00:00+00:00,Team.DENVER_NUGGETS,Team.UTAH_JAZZ,96,106,2018
10,2017-10-19 01:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.SAN_ANTONIO_SPURS,99,107,2018
11,2017-10-19 02:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.PHOENIX_SUNS,124,76,2018
12,2017-10-19 02:00:00+00:00,Team.HOUSTON_ROCKETS,Team.SACRAMENTO_KINGS,105,100,2018
13,2017-10-19 23:30:00+00:00,Team.CHICAGO_BULLS,Team.TORONTO_RAPTORS,100,117,2018
14,2017-10-20 00:00:00+00:00,Team.NEW_YORK_KNICKS,Team.OKLAHOMA_CITY_THUNDER,84,105,2018
15,2017-10-20 02:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.LOS_ANGELES_LAKERS,108,92,2018
16,2017-10-20 23:00:00+00:00,Team.ATLANTA_HAWKS,Team.CHARLOTTE_HORNETS,91,109,2018
17,2017-10-20 23:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.INDIANA_PACERS,114,96,2018
18,2017-10-20 23:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.MILWAUKEE_BUCKS,116,97,2018
19,2017-10-20 23:00:00+00:00,Team.BOSTON_CELTICS,Team.PHILADELPHIA_76ERS,102,92,2018
20,2017-10-20 23:00:00+00:00,Team.DETROIT_PISTONS,Team.WASHINGTON_WIZARDS,111,115,2018
21,2017-10-20 23:30:00+00:00,Team.ORLANDO_MAGIC,Team.BROOKLYN_NETS,121,126,2018
22,2017-10-21 00:00:00+00:00,Team.UTAH_JAZZ,Team.MINNESOTA_TIMBERWOLVES,97,100,2018
23,2017-10-21 00:30:00+00:00,Team.SACRAMENTO_KINGS,Team.DALLAS_MAVERICKS,93,88,2018
24,2017-10-21 01:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.NEW_ORLEANS_PELICANS,128,120,2018
25,2017-10-21 02:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.PHOENIX_SUNS,132,130,2018
26,2017-10-21 23:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.TORONTO_RAPTORS,94,128,2018
27,2017-10-22 00:00:00+00:00,Team.SAN_ANTONIO_SPURS,Team.CHICAGO_BULLS,87,77,2018
28,2017-10-22 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.CLEVELAND_CAVALIERS,114,93,2018
29,2017-10-22 00:00:00+00:00,Team.DALLAS_MAVERICKS,Team.HOUSTON_ROCKETS,91,107,2018
30,2017-10-22 00:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.MEMPHIS_GRIZZLIES,101,111,2018
31,2017-10-22 00:00:00+00:00,Team.INDIANA_PACERS,Team.MIAMI_HEAT,108,112,2018
